scope,condition,n,exact_one_label,non_exact,compliance_rate
claude5_sonnet,direct_mc,817,810,7,0.9914320685434517
claude5_sonnet,cot_mc,817,811,6,0.99265605875153
deepseek-flash,direct_mc,817,817,0,1.0
deepseek-flash,cot_mc,817,817,0,1.0
gemma3_12b_it,direct_mc,817,811,6,0.99265605875153
gemma3_12b_it,cot_mc,817,811,6,0.99265605875153
gemma4_31b_it,direct_mc,817,811,6,0.99265605875153
gemma4_31b_it,cot_mc,817,811,6,0.99265605875153
gpt-oss-120b,direct_mc,817,811,6,0.99265605875153
gpt-oss-120b,cot_mc,817,811,6,0.99265605875153
gpt-oss-20b,direct_mc,817,810,7,0.9914320685434517
gpt-oss-20b,cot_mc,817,811,6,0.99265605875153
gpt5_5,direct_mc,817,810,7,0.9914320685434517
gpt5_5,cot_mc,817,810,7,0.9914320685434517
llama3-70b,direct_mc,817,817,0,1.0
llama3-70b,cot_mc,817,816,1,0.9987760097919217
llama3-8b,direct_mc,817,817,0,1.0
llama3-8b,cot_mc,817,816,1,0.9987760097919217
llama4_scout-17b,direct_mc,817,812,5,0.9938800489596084
llama4_scout-17b,cot_mc,817,811,6,0.99265605875153
mistral-7b,direct_mc,817,810,7,0.9914320685434517
mistral-7b,cot_mc,817,811,6,0.99265605875153
ALL_MODELS,direct_mc,8987,8936,51,0.9943251363080005
ALL_MODELS,cot_mc,8987,8936,51,0.9943251363080005
